Date,winner,loser,,
2017-02-01,Albany (NY),Massachusetts-Lowell,,
2017-02-01,Maryland-Baltimore County,Binghamton,,
2017-02-01,Stony Brook,New Hampshire,,
2017-02-01,Vermont,Maine,,
2017-02-04,Stony Brook,Albany (NY),,
2017-02-04,Vermont,Hartford,,
2017-02-04,Maryland-Baltimore County,Maine,,
2017-02-04,Massachusetts-Lowell,Binghamton,,
2017-02-06,Maine,Hartford,,
2017-02-06,Albany (NY),New Hampshire,,
2017-02-06,Stony Brook,Massachusetts-Lowell,,
2017-02-06,Vermont,Binghamton,,
2017-02-09,Albany (NY),Binghamton,,
2017-02-09,Hartford,Maryland-Baltimore County,,
2017-02-09,Massachusetts-Lowell,Maine,,
2017-02-09,Vermont,New Hampshire,,
2017-02-12,New Hampshire,Binghamton,,
2017-02-12,Hartford,Massachusetts-Lowell,,
2017-02-12,Vermont,Maryland-Baltimore County,,
2017-02-12,Stony Brook,Maine,,
2017-02-15,Albany (NY),Maryland-Baltimore County,,
2017-02-15,Stony Brook,Hartford,,
2017-02-15,Vermont,Massachusetts-Lowell,,
2017-02-15,New Hampshire,Maine,,
2017-02-18,Maryland-Baltimore County,Massachusetts-Lowell,,
2017-02-18,New Hampshire,Hartford,,
2017-02-18,Stony Brook,Binghamton,,
2017-02-19,Albany (NY),Maine,,
2017-02-22,Hartford,Binghamton,,
2017-02-22,Maryland-Baltimore County,Stony Brook,,
2017-02-22,New Hampshire,Massachusetts-Lowell,,
2017-02-22,Vermont,Albany (NY),,
2017-02-25,Albany (NY),Hartford,,
2017-02-25,Maine,Binghamton,,
2017-02-25,New Hampshire,Maryland-Baltimore County,,
2017-02-25,Vermont,Stony Brook,,
2017-03-01,Albany (NY),Hartford,,
2017-03-01,New Hampshire,Maryland-Baltimore County,,
2017-03-01,Stony Brook,Binghamton,,
2017-03-01,Vermont,Maine,,
2017-03-06,Albany (NY),Stony Brook,,
2017-03-06,Vermont,New Hampshire,,
2017-03-11,Vermont,Albany (NY),,
