Date,winner,loser,,
2005-01-12,Vermont,Stony Brook,,
2005-01-13,Boston University,Maryland-Baltimore County,,
2005-01-13,Maine,New Hampshire,,
2005-01-15,Northeastern,Maryland-Baltimore County,,
2005-01-15,Stony Brook,Hartford,,
2005-01-16,New Hampshire,Binghamton,,
2005-01-16,Albany (NY),Maine,,
2005-01-16,Vermont,Boston University,,
2005-01-19,Binghamton,Stony Brook,,
2005-01-19,Hartford,Maine,,
2005-01-19,Maryland-Baltimore County,Albany (NY),,
2005-01-19,Vermont,New Hampshire,,
2005-01-19,Northeastern,Boston University,,
2005-01-22,Maryland-Baltimore County,Binghamton,,
2005-01-22,Boston University,Stony Brook,,
2005-01-22,Vermont,Albany (NY),,
2005-01-23,Hartford,New Hampshire,,
2005-01-23,Maine,Northeastern,,
2005-01-26,Boston University,New Hampshire,,
2005-01-26,Northeastern,Stony Brook,,
2005-01-27,Albany (NY),Hartford,,
2005-01-27,Vermont,Binghamton,,
2005-01-27,Maryland-Baltimore County,Maine,,
2005-01-29,New Hampshire,Maryland-Baltimore County,,
2005-01-30,Northeastern,Binghamton,,
2005-01-30,Boston University,Albany (NY),,
2005-01-30,Vermont,Hartford,,
2005-01-30,Maine,Stony Brook,,
2005-02-02,Albany (NY),Stony Brook,,
2005-02-02,Binghamton,Hartford,,
2005-02-02,Boston University,Maine,,
2005-02-02,Vermont,Maryland-Baltimore County,,
2005-02-02,Northeastern,New Hampshire,,
2005-02-05,Albany (NY),New Hampshire,,
2005-02-05,Boston University,Hartford,,
2005-02-05,Stony Brook,Maryland-Baltimore County,,
2005-02-05,Vermont,Northeastern,,
2005-02-06,Binghamton,Maine,,
2005-02-09,Binghamton,Albany (NY),,
2005-02-09,Maine,New Hampshire,,
2005-02-09,Boston University,Maryland-Baltimore County,,
2005-02-09,Northeastern,Hartford,,
2005-02-09,Vermont,Stony Brook,,
2005-02-12,Albany (NY),Maine,,
2005-02-12,Boston University,Vermont,,
2005-02-12,Stony Brook,Hartford,,
2005-02-12,Northeastern,Maryland-Baltimore County,,
2005-02-13,Binghamton,New Hampshire,,
2005-02-16,Vermont,Albany (NY),,
2005-02-16,Binghamton,Maryland-Baltimore County,,
2005-02-16,Boston University,Stony Brook,,
2005-02-16,Northeastern,Maine,,
2005-02-17,New Hampshire,Hartford,,
2005-02-19,Albany (NY),Maryland-Baltimore County,,
2005-02-19,Maine,Hartford,,
2005-02-19,Stony Brook,Binghamton,,
2005-02-20,Northeastern,Boston University,,
2005-02-21,Vermont,New Hampshire,,
2005-02-24,Boston University,Maine,,
2005-02-24,Hartford,Binghamton,,
2005-02-24,Northeastern,New Hampshire,,
